source_ENSEMBL target_ENSEMBL interaction
ENSG00000121989 ENSG00000135503 1
ENSG00000114739 ENSG00000123612 1
ENSG00000114739 ENSG00000166949 1
ENSG00000114739 ENSG00000175387 1
ENSG00000114739 ENSG00000135503 1
ENSG00000114739 ENSG00000107779 1
ENSG00000114739 ENSG00000115170 1
ENSG00000114739 ENSG00000139567 1
ENSG00000114739 ENSG00000138696 1
ENSG00000139567 ENSG00000170365 1
ENSG00000137845 ENSG00000074181 1
ENSG00000137845 ENSG00000174808 1
ENSG00000137845 ENSG00000138798 1
ENSG00000137845 ENSG00000141736 1
ENSG00000137845 ENSG00000134250 1
ENSG00000137845 ENSG00000148400 1
ENSG00000137845 ENSG00000026508 1
ENSG00000137845 ENSG00000142192 1
ENSG00000137845 ENSG00000039068 1
ENSG00000137845 ENSG00000198719 1
ENSG00000148848 ENSG00000138798 1
ENSG00000148848 ENSG00000121879 1
ENSG00000148848 ENSG00000150093 1
ENSG00000148848 ENSG00000124145 1
ENSG00000148848 ENSG00000144668 1
ENSG00000143537 ENSG00000150093 1
ENSG00000143537 ENSG00000161638 1
ENSG00000143537 ENSG00000144668 1
ENSG00000143537 ENSG00000259207 1
ENSG00000151694 ENSG00000161638 1
ENSG00000151694 ENSG00000185245 -1
ENSG00000151694 ENSG00000142192 1
ENSG00000151694 ENSG00000109321 1
ENSG00000151694 ENSG00000232810 1
ENSG00000151694 ENSG00000185499 -1
ENSG00000151694 ENSG00000113070 1
ENSG00000151694 ENSG00000148400 1
ENSG00000151694 ENSG00000150093 1
ENSG00000151694 ENSG00000178568 1
ENSG00000151694 ENSG00000124882 1
ENSG00000135074 ENSG00000120659 1
ENSG00000104755 ENSG00000150093 1
ENSG00000104755 ENSG00000091409 1
ENSG00000114948 ENSG00000259207 1
ENSG00000114948 ENSG00000161638 1
ENSG00000168615 ENSG00000150093 1
ENSG00000168615 ENSG00000091409 1
ENSG00000168615 ENSG00000066468 -1
ENSG00000168615 ENSG00000082781 1
ENSG00000168615 ENSG00000138448 1
ENSG00000154734 ENSG00000038427 1
ENSG00000154734 ENSG00000157766 -1
ENSG00000160323 ENSG00000110799 -1
ENSG00000158859 ENSG00000157766 1
ENSG00000197381 ENSG00000055332 1
ENSG00000173137 ENSG00000125398 1
ENSG00000173175 ENSG00000288516 1
ENSG00000173175 ENSG00000072062 1
ENSG00000173175 ENSG00000164047 1
ENSG00000141433 ENSG00000078549 1
ENSG00000141433 ENSG00000106018 1
ENSG00000141433 ENSG00000114812 1
ENSG00000205336 ENSG00000067560 1
ENSG00000164199 ENSG00000095397 1
ENSG00000164199 ENSG00000042781 1
ENSG00000164199 ENSG00000174233 -1
ENSG00000164199 ENSG00000028203 1
ENSG00000181092 ENSG00000159346 1
ENSG00000181092 ENSG00000006831 1
ENSG00000159346 ENSG00000157500 1
ENSG00000006831 ENSG00000157500 1
ENSG00000148926 ENSG00000183695 1
ENSG00000148926 ENSG00000132329 1
ENSG00000148926 ENSG00000122679 1
ENSG00000148926 ENSG00000131477 1
ENSG00000148926 ENSG00000064989 1
ENSG00000148926 ENSG00000004948 1
ENSG00000148926 ENSG00000166856 1
ENSG00000128165 ENSG00000132329 1
ENSG00000128165 ENSG00000122679 1
ENSG00000128165 ENSG00000064989 1
ENSG00000128165 ENSG00000131477 1
ENSG00000128165 ENSG00000004948 1
ENSG00000101126 ENSG00000140941 1
ENSG00000101126 ENSG00000102974 -1
